"","X","Fish_ID_Revised","Fish_ID","GillClip_ID_Revised","GillClip_ID","Collection_Date","RunTimingGroup","Collection_Location","Processing_Date","Col_Location_Lat","Col_Location_Long","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","DWP.","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Oto_Well_ID","Strontium_marked_Y.N","Scales_Y.N","Scales_num","Fish_Ground_Y.N","Gonad_Saved_Y.N","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Dissect_Comments","SpawnStatus","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Dry_Comments","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_1","Bomb_ID_2","Bomb_PelletWt_g_2","EE_value_2","EnergyDensity_mJ.kg_2","EnergyPDry_2","Bomb_ID_3","Bomb_PelletWt_g_3","EE_value_3","EnergyDensity_mJ.kg_3","EnergyPDry_3","Bomb_ID_4","Bomb_PelletWt_g_4","EE_value_4","EnergyDensity_mJ.kg_4","EnergyPDry_4","BC_comments","Collection_RiverMile_m","Elevation_m","Year","Group_Assignment","Fish_Leng_1_mm","Fish_Leng_2_mm","Fish_Ht_mm","Fish_Grth_mm","Fish_Wt_g","bodysize_pc_g_mm","Fish_Wdth_mm","Predicted_Fish_Wdth_mm","fineness"
"32",67,"TN-7-2019","TNL7-2019","TN-7-19","TNL7","2019-09-10",NA,"Tanada","9/10/19",62.45133,-143.382153,2.002,46.04,46.07,7.02,7.02,14.06,16.05,4.07,31.06,"M",0.022,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.876,"2-F7","N","Y","5","Y","Y",0.01,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,"",0,"2/5/20",127.6,"2/11/20",23.7,"0.8143","0.1857","","2/14/20",4,0.4144,923.3249,19.3748,3.598610972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2019,"TanadaCopperLakes",460.4,70.2,140.6,310.6,2002,0.982700046445859,40.7,57.0320823544838,11.3120393120393
"33",68,"TN-8-2019","TNL8-2019","TN-8-19","TNL8","2019-09-10",NA,"Tanada","9/19/19",62.45133,-143.382153,2.946,50.05,50.08,8.04,8.03,16.01,18.02,5.07,38,"M",0.076,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.714,"2-F9","N","Y","5","Y","Y",0.038,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,"",0,"2/5/20",124.7,"2/11/20",24.8,"0.8011","0.1989","","2/14/20",2,0.3603,923.1981,20.5642,4.089752686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2019,"TanadaCopperLakes",500.5,80.4,160.1,380,2946,3.23168464039475,50.7,63.9405365334121,9.87179487179487
"34",69,"TN-9-2019","TNL9-2019","TN-9-19","TNL9","2019-09-10",NA,"Tanada","9/19/19",62.45133,-143.382153,2.004,46.07,48.01,6.09,6.07,12.01,14.09,5.03,29.08,"M",0.03,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.898,"2-F10","N","Y",NA,"Y","Y",0.016,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,"",0,"2/5/20",151.1,"2/11/20",31.1,"0.7942","0.2058","","2/14/20",4,0.4018,923.3249,20.415,4.201896095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2019,"TanadaCopperLakes",460.7,60.9,120.1,290.8,2004,0.140193797347868,50.3,57.0467189099477,9.15904572564612
"35",70,"TN-10-2019","TNL10-2019","TN-10-19","TNL10","2019-09-10",NA,"Tanada","9/19/19",62.45133,-143.382153,2.488,47.02,47,8.03,8.01,16.04,18,5.09,36.06,"M",0.04,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-F8","N","Y","5","Y","Y",0.016,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.5,"",0,"2/5/20",170.5,"2/11/20",33.4,"0.8041","0.1959","","2/14/20",2,0.3191,923.1981,21.0252,4.118719531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2019,"TanadaCopperLakes",470.2,80.3,160.4,360.6,2488,2.42360480615908,50.9,60.5887653321948,9.237721021611
"36",71,"MN-1-2020","MN-20-1","MN-1-20","MN-20-1","2020-07-30",NA,"Mentasta","9/23/20",62.94958,-143.35984,1.896,45.4,NA,7,NA,13.3,NA,5.5,31.5,"M",0.05,"2-A6",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71,"2-A6 (1 OTO","N","Y (bad scales)","","Y","Y",0.028,0.5,0.3,0.2,0.3,0.3,0.3,0.4,0.5,"",0,"1/10/21",104.1,"1/14/21",19.7,"0.8108","0.1892",NA,"2/8/21",4,0.4666,923.3249,20.1929,3.821326897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2020,"Slana",454,70,133,315,1896,0.726493809765598,55,56.2563449149008,8.25454545454545
"37",72,"MN-2-2020","MN-20-2","MN-2-20","MN-20-2","2020-07-30",NA,"Mentasta","9/24/20",62.94958,-143.35984,2.024,45.6,NA,6.7,NA,14,NA,4.3,32,"M",0.036,"2-C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.848,"2-B7 (1 OTO)","N","","","Y","Y",0.02,0.4,0.4,0.4,0.5,0.6,0.5,0.6,0.5,"",0,"1/10/21",81.3,"1/14/21",15.6,"0.8081","0.1919",NA,"2/8/21",2,0.3468,955.4635,19.8806,3.814727675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2020,"Slana",456,67,140,320,2024,1.02559672716977,43,57.193084464586,10.6046511627907
"38",73,"MN-3-2020","MN-20-3","MN-3-20","MN-20-3","2020-07-30",NA,"Mentasta","9/26/20",62.94958,-143.35984,1.04,38.8,NA,4.4,NA,11,NA,2.9,NA,"M",0.03,"Fin well ID 41",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.946,"2-D5 (1 OTO)","N","Y","5","Y","Y",0.016,0.3,0.4,0.4,0.3,0.4,0.5,0.4,0.5,"",0,"1/10/21",103.6,"1/14/21",18.3,"0.8234","0.1766",NA,"2/8/21",4,0.4429,923.3249,19.3462,3.417330695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2020,"Slana",388,44,110,238.931586544495,1040,-2.17147537903885,29,49.991899176381,13.3793103448276
"39",74,"MN-4-2020","MN-20-4","MN-4-20","MN-20-4","2020-07-30",NA,"Mentasta","9/28/20",62.94958,-143.35984,1.642,49.9,NA,7.4,NA,12.5,NA,4.4,30.6,"M",0.038,"Fin well ID 17(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.492,"2-F5","N","Y","3","Y","Y",0.016,0.3,0.3,0.3,0.5,0.3,0.3,0.4,0.5,"",0,"1/10/21",79.3,"1/14/21",14.6,"0.8159","0.1841",NA,"2/8/21",2,0.5085,955.4635,20.8907,3.846207062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2020,"Slana",499,74,125,306,1642,1.1700678509118,44,54.3975023709942,11.3409090909091
"40",75,"MN-5-2020","MN-20-5","MN-5-20","MN-20-5","2020-07-30",NA,"Mentasta","9/28/20",62.94958,-143.35984,1.724,46,NA,6.7,NA,12.3,NA,4.1,28.2,"M",0.018,"Fin well: 13(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.592,"2-F1","N","Y","4","Y","Y",0.01,0.6,0.3,1.3,0.4,3.5,0.2,1.2,0.3,"",0,"1/10/21",89.5,"1/14/21",17.2,"0.8078","0.1922",NA,"2/8/21",4,0.3452,923.3249,18.1366,3.485469497,2,0.3865,955.4635,20.0588,3.854875531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2020,"Slana",460,67,123,282,1724,0.078948695506466,41,54.9976011450113,11.219512195122
"41",85,"FC-6-2020","FC-20-6","FC-6-20","FC-20-6","2020-07-31",NA,"Fish Creek Gulkana","9/24/20",63.1000428,-145.481274,2.39,48.2,NA,8.3,NA,14.6,NA,5,32.5,"M",0.056,"2-C5",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.232,"2-B9","Y","Y","bad scales","Y","Y",0.026,0.6,0.4,0.3,0.5,0.6,0.5,0.4,0.6,"",0,"1/10/21",105.7,"1/14/21",22.8,"0.7843","0.2157",NA,"2/10/21",4,0.4718,923.3249,21.1345,4.558813623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2020,"Gulkana",482,83,146,325,2390,1.72030761785935,50,59.8715741144671,9.64
"42",86,"FC-7-2020","FC-20-7","FC-7-20","FC-20-7","2020-07-31",NA,"Fish Creek Gulkana","9/29/20",63.1000428,-145.481274,2.59,48.8,NA,8.3,NA,13.4,NA,5.6,32.1,"M",0.044,"Fin well ID: 25 (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.386,"2-G1 (one missing)","N","Y","4","Y","Y",0.024,0.3,0.8,0.3,0.8,0.3,0.4,0.4,0.3,"",0,"1/10/21",115.5,"1/14/21",25.8,"0.7766","0.2234",NA,"2/10/21",2,0.2739,955.4635,21.5977,4.824421299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2020,"Gulkana",488,83,134,321,2590,1.44023473082651,56,61.3352296608502,8.71428571428571
"43",88,"FC-9-2020","FC-20-9","FC-9-20","FC-20-9","2020-07-31",NA,"Fish Creek Gulkana","9/24/20",63.1000428,-145.481274,2.662,48.6,NA,8.9,NA,14.8,NA,5.3,34,"M",0.052,"2-C7",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.432,"2-B11","N","Y","5","Y","Y",0.026,0.3,0.4,0.4,0.5,0.4,0.5,0.5,0.5,"",0,"1/10/21",141.1,"1/14/21",28.3,"0.7994","0.2006",NA,"2/10/21",2,0.2875,955.4635,21.9455,4.401542523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2020,"Gulkana",486,89,148,340,2662,2.0637009815471,53,61.8621456575481,9.16981132075472
"44",89,"FC-10-2020","FC-20-10","FC-10-20","FC-20-10","2020-07-31",NA,"Fish Creek Gulkana","9/24/20",63.1000428,-145.481274,2.392,47.6,NA,8.3,NA,13.8,NA,5.2,32,"M",0.066,"2-D3",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19,"2-C3","Y","Y","","Y","Y",0.03,0.7,0.7,0.6,0.6,0.5,0.8,0.6,0.6,"",0,"1/10/21",115.2,"1/14/21",29.4,"0.7448","0.2552",NA,"2/10/21",4,0.348,923.3249,21.5555,5.501143229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2020,"Gulkana",476,83,138,320,2392,1.32342168538572,52,59.8862106699309,9.15384615384615
"45",90,"GH2-1-2020","GH2-1-2020","GH2-1-20","GH2-1 (2020)","2020-09-08",NA,"Gulkana Hatchery","7/23/21",63.06732669,-145.5138318,2.262,50.2,NA,8.9,NA,13.5,NA,6.3,31.1,"M",0.026,"2-A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.138,"1-E4","Y","Y","5","Y","Y",0.014,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,"",0,"10/15/21",114.2,"10/20/21",22.4,"0.8039","0.1961",NA,"10/21/21",2,0.4449,955.8343,21.481,4.213436077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2020,"GulkanaHatchery",502,89,135,311,2262,1.5686876395278,63,58.9348345647819,7.96825396825397
"46",91,"GH2-2-2020","GH2-20-2","GH2-2-20","GH2-20-2","2020-09-08",NA,"Gulkana Hatchery","9/23/20",63.06732669,-145.5138318,2.45,49,NA,8.2,NA,12.8,NA,5.7,32.4,"M",0.07,"2-B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.232,"2-A10","Y","Y","6","Y","Y",0.036,0.7,0.6,0.4,0.7,0.4,0.7,0.4,0.5,"",0,"1/15/21",75.2,"1/21/21",16.2,"0.7846","0.2154",NA,"2/16/21",4,0.3792,923.3249,20.9377,4.51051516,2,0.4191,955.4635,21.6538,4.664781383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2020,"GulkanaHatchery",490,82,128,324,2450,1.35534776740202,57,60.310670778382,8.59649122807017
"47",92,"GH2-3-2020","GH2-3-2020","GH2-3-20","GH2-3 (2020)","2020-09-08",NA,"Gulkana Hatchery","7/23/21",63.06732669,-145.5138318,2.562,49.4,NA,8.4,NA,14,NA,6.4,32.9,"M",0.05,"2-C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.482,"1-F7","Y","Y","5","Y","Y",0.022,0.5,0.4,0.8,0.4,0.4,0.5,0.4,0.4,"",0,"10/15/21",98.7,"10/19/21",22.8,"0.769","0.231",NA,"10/21/21",4,0.4742,923.3249,18.26,4.218115502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2020,"GulkanaHatchery",494,84,140,329,2562,1.82618583906823,64,61.1303178843566,7.71875
"48",93,"GH2-4-2020","GH2-4-2020","GH2-4-20","GH2-4 (2020)","2020-09-08",NA,"Gulkana Hatchery","7/23/21",63.06732669,-145.5138318,1.856,44.9,NA,6.8,NA,12,NA,6.4,30,"M",0.046,"2-C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.764,"1-F6 (no otoliths)","NO READ","Y","5","Y","Y",0.022,0.7,0.6,0.7,0.4,0.4,0.7,0.5,1,"",0,"10/15/21",101.9,"10/19/21",23.6,"0.7684","0.2316",NA,"10/21/21",2,0.3092,955.8343,20.4585,4.738180569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2020,"GulkanaHatchery",449,68,120,300,1856,0.0651948695730299,64,55.9636138056241,7.015625
"49",94,"GH2-5-2020","GH2-20-5","GH2-5-20","GH2-20-5","2020-09-08",NA,"Gulkana Hatchery","9/23/20",63.06732669,-145.5138318,1.666,41.8,NA,7.3,NA,10.8,NA,5,27,"M",0.05,"2-A8",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.494,"2-A8 (NO OTOS)","N","Y","2 bad scales","Y","Y",0.024,0.4,0.6,0.7,0.7,0.7,1.1,0.7,0.6,"",0,"1/15/21",139.3,"1/21/21",30.6,"0.7803","0.2197",NA,"2/16/21",4,0.3504,923.3249,21.4158,4.70440402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2020,"GulkanaHatchery",418,73,108,270,1666,-1.24526601781552,50,54.5731410365602,8.36
"50",100,"MA-1-2020","MA-20-1","MA-1-20","MA-20-1","2020-08-10",NA,"Mahlo","9/24/20",61.73588,-145.7294181,2.53,44.6,NA,7.9,NA,17.6,NA,4.4,39.4,"M",0.05,"2-B8",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.288,"1-B4","N","Y","bad scales","Y","Y",0.024,0.5,0.3,0.5,0.4,0.5,0.5,0.7,0.6,"",0,"1/5/21",121.1,"1/9/21",26.8,"0.7787","0.2213",NA,"2/18/21",4,0.4585,923.3249,19.9867,4.423150784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2020,"KlutinaLake",446,79,176,394,2530,2.90913951863815,44,60.8961329969353,10.1363636363636
"51",101,"MA-2-2020","MA-20-2","MA-2-20","MA-20-2","2020-08-10",NA,"Mahlo","9/29/20",61.73588,-145.7294181,2.448,47.3,NA,8.4,NA,15.5,NA,3.8,34.7,"M",0.04,"Fin clip 28 (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.256,"2-G4","N","Y","6","Y","Y",0.018,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,"",0,"1/5/21",116.9,"1/9/21",23.8,"0.7964","0.2036",NA,"2/18/21",2,0.4247,955.4635,19.9238,4.056342515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2020,"KlutinaLake",473,84,155,347,2448,2.12759553277443,38,60.2960342229182,12.4473684210526
"52",105,"MA-6-2020","MA-20-6","MA-6-20","MA-20-6","2020-08-10",NA,"Mahlo","9/26/20",61.73588,-145.7294181,2.112,44.8,NA,7.7,NA,14.6,NA,4.6,34,"M",0.038,"fin well id:40",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.896,"2-D4","N","Y","6","Y","Y",0.018,0.3,0.3,0.3,0.4,0.3,0.4,0.3,0.5,"",0,"1/5/21",94.3,"1/9/21",18.3,"0.8059","0.1941",NA,"2/18/21",4,0.4246,923.3249,19.3812,3.761144857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2020,"KlutinaLake",448,77,146,340,2112,1.33950174959938,46,57.8370929049945,9.73913043478261
"53",107,"MA-8-2020","MA-20-8","MA-8-20","MA-20-8","2020-08-10",NA,"Mahlo","9/24/20",61.73588,-145.7294181,2.362,45.6,NA,8.6,NA,15.6,NA,4.9,35.8,"M",0.036,"2-C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.162,"2-B6","N","Y","5","Y","Y",0.02,0.5,0.4,0.4,0.4,0.6,0.5,0.4,0.5,"",0,"1/5/21",142,"1/9/21",31.6,"0.7775","0.2225",NA,"2/18/21",4,0.3808,923.3249,17.703,3.939540845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2020,"KlutinaLake",456,86,156,358,2362,2.01543059757929,49,59.6666623379734,9.30612244897959
"54",109,"MA-10-2020","MA-20-10","MA-10-20","MA-20-10","2020-08-10",NA,"Mahlo","9/24/20",61.73588,-145.7294181,2.472,49.4,NA,9.2,NA,15.8,NA,5,34.3,"M",0.008,"2-D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.264,"2-C2 one missing oto","N","Y","","Y","Y",0.002,0.3,0.4,0.3,0.4,0.4,0.4,0.6,0.4,"",0,"1/5/21",138.8,"1/9/21",25.4,"0.817","0.183",NA,"2/18/21",4,0.4258,923.3249,18.8246,3.44484755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2020,"KlutinaLake",494,92,158,343,2472,2.52131806907034,50,60.4716728884842,9.88
"55",111,"SA-2-2020","SA-20-2","SA-2-20","SA-20-2","2020-08-11",NA,"St Anne","9/24/20",61.73953006,-145.9685194,1.926,44.9,NA,7.8,NA,15.3,NA,4.5,NA,"M",0.016,"2-D4",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.798,"2-C4","N","","","Y","Y",0.006,0.3,0.6,0.5,0.4,0.5,0.4,0.7,0.6,"",0,"1/23/20",85.5,"1/28/21",15.2,"0.8222","0.1778",NA,"2/23/21",4,0.3158,923.3249,19.5469,3.475004444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2020,"KlutinaLake",449,78,153,302.585332932724,1926,1.00367551783392,45,56.4758932468582,9.97777777777778
"56",112,"SA-3-2020","SA-20-3","SA-3-20","SA-20-3","2020-08-11",NA,"St Anne","9/24/20",61.73953006,-145.9685194,1.688,47.7,NA,6.1,NA,12.4,NA,4,26.6,"M",0.016,"2-D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54,"2-C1","N","Y","","Y","Y",0.008,0.3,0.3,0.4,0.4,0.3,0.6,0.5,0.4,"",0,"1/23/21",105.5,"1/28/21",21.7,"0.7943","0.2057",NA,"2/23/21",2,0.4868,955.4635,17.9294,3.687848152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2020,"KlutinaLake",477,61,124,266,1688,0.172940220205967,40,54.7341431466623,11.925
"57",116,"SA-7-2020","SA-20-7","SA-7-20","SA-20-7","2020-08-11",NA,"St Anne","9/24/20",61.73953006,-145.9685194,2.24,46.9,NA,8.5,NA,15.8,NA,4.9,35,"M",0.03,"2-D6",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.118,"2-C6","N","Y","bad scales","Y","Y",0.016,0.3,0.3,0.3,0.7,0.8,0.3,0.5,0.4,"",0,"1/23/21",104.2,"1/28/21",20.3,"0.8052","0.1948",NA,"2/23/21",2,0.3927,955.4635,18.2457,3.554584549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2020,"KlutinaLake",469,85,158,350,2240,2.18266922244279,49,58.7738324546797,9.57142857142857
"58",119,"SA-10-2020","SA-20-10","SA-10-20","SA-20-10","2020-08-11",NA,"St Anne","9/24/20",61.73953006,-145.9685194,1.982,44,NA,7.3,NA,14.9,NA,4.8,33,"M",0.046,"2-C6",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,"2-B10","N","Y","5","Y","Y",0.026,0.4,0.4,0.3,0.4,0.4,0.4,0.3,0.4,"",0,"1/23/21",92.2,"1/28/21",18.7,"0.7972","0.2028",NA,"2/23/21",4,0.5074,923.3249,20.6418,4.18656898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2020,"KlutinaLake",440,73,149,330,1982,1.1348874866308,48,56.8857167998455,9.16666666666667
"59",120,"LL-1-2020","LL-20-1","LL-1-20","LL-20-1","2020-08-31",NA,"Long Lake","9/23/20",61.37920879,-143.30713,2.61,50.4,NA,8.4,NA,12.3,NA,6.2,31,"M",0.046,"2-A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34,"2-A1","N","Y","5","Y","Y",0.026,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"1/15/21",125.3,"1/21/21",30.9,"0.7534","0.2466",NA,"2/25/21",2,0.3648,923.3249,23.1414,5.706857622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2020,"Chitina",504,84,123,310,2610,1.26179267767846,62,61.4815952154885,8.12903225806452
"60",122,"LL-3-2020","LL-20-3","LL-3-20","LL-20-3","2020-08-31",NA,"Long Lake","9/23/20",61.37920879,-143.30713,2.246,48,NA,6.9,NA,11.2,NA,5.8,29,"M",0.054,"2-A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.076,"2-A4","N","Y","6","Y","Y",0.026,0.7,0.7,0.7,0.8,1,0.8,0.6,0.6,"",0,"1/15/21",146.1,"1/21/21",36.2,"0.7522","0.2478",NA,"2/25/21",2,0.3852,955.4635,23.2672,5.765042026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2020,"Chitina",480,69,112,290,2246,0.247519299178015,58,58.8177421210712,8.27586206896552
"61",123,"LL-4-2020","LL-20-4","LL-4-20","LL-20-4","2020-08-31",NA,"Long Lake","9/26/20",61.37920879,-143.30713,2.518,48.9,NA,7.8,NA,12,NA,5.5,29.6,"M",0.068,"Fin clip 42",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.318,"2-D6","N","Y","4","Y","Y",0.034,1.2,0.6,1.6,0.7,0.7,0.7,0.7,0.5,"",0,"1/15/21",139,"1/21/21",33.7,"0.7576","0.2424",NA,"2/25/21",2,0.3714,955.4635,23.2971,5.648289712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2020,"Chitina",489,78,120,296,2518,0.711822669196307,55,60.8083136641523,8.89090909090909
"62",124,"LL-5-2020","LL-20-5","LL-5-20","LL-20-5","2020-08-31",NA,"Long Lake","9/23/20",61.37920879,-143.30713,2.228,46.1,NA,6.3,NA,11.5,NA,6.5,32,"M",0.04,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.032,"2-A3","N","Y","5","Y","Y",0.022,1.3,2.1,0.9,1.3,1.2,1.4,1,0.8,"",0,"1/15/21",122,"1/21/21",34.6,"0.7164","0.2836",NA,"2/25/21",4,0.3548,923.3249,24.2427,6.875388689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2020,"Chitina",461,63,115,320,2228,0.431237556763973,65,58.6860131218967,7.09230769230769
"63",125,"LL-6-2020","LL-20-6","LL-6-20","LL-20-6","2020-08-31",NA,"Long Lake","9/26/20",61.37920879,-143.30713,2.28,47.5,NA,6.3,NA,11.4,NA,6.2,29.6,"M",0.054,"Fin clip 31",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.096,"2-C7 one missing","N","Y","5","Y","Y",0.03,2.1,1.2,1.4,1.2,0.8,1.1,1.4,1.1,"",0,"1/15/21",113.9,"1/21/21",36.1,"0.6831","0.3169",NA,"2/25/21",2,0.3212,955.4635,25.6287,8.122880334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2020,"Chitina",475,63,114,296,2280,0.301335646049129,62,59.0665635639564,7.66129032258065
"64",132,"MA-3-2021","MA-3-2021","MA-3-21","MA-3","2021-07-18",NA,"Mahlo","7/23/21",61.73588,-145.7294181,1.808,40.5,NA,7,NA,14.4,NA,6.5,31.6,"M",0.068,"1-F1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.656,"1-D5","N","Y","5","Y","Y",0.042,0.6,0.4,0.6,0.4,0.6,0.4,0.6,0.5,"",0,"10/6/21",109.5,"10/11/21",24,"0.7808","0.2192",NA,"10/12/21",2,0.3227,955.4635,22.8666,5.011857534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2021,"KlutinaLake",405,70,144,316,1808,0.177898167286214,65,55.6123364744922,6.23076923076923
"65",133,"MA-4-2021","MA-4-2021","MA-4-21","MA-4","2021-07-18",NA,"Mahlo","7/23/21",61.73588,-145.7294181,1.768,44.3,NA,7,NA,13.3,NA,6,30.3,"M",0.054,"1-F3",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65,"1-D7","N","Y","5","Y","Y",0.028,0.5,0.5,0.4,0.4,0.5,0.6,0.6,0.6,"",0,"10/6/21",117.3,"10/11/21",25.4,"0.7835","0.2165",NA,"10/12/21",4,0.2785,923.3249,20.4498,4.428174936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2021,"KlutinaLake",443,70,133,303,1768,0.358012227403714,60,55.3196053652156,7.38333333333333
